date,total,filter,remove,ratio
2021-12-26,23,9,0,0.39
2021-12-28,16,7,0,0.44
2021-12-30,21,5,0,0.24
2022-01-02,18,9,0,0.5
2022-01-08,23,6,0,0.26
2022-01-10,19,7,0,0.37
2022-01-12,21,5,0,0.24
2022-01-14,19,9,0,0.47
2022-01-16,19,6,0,0.32
2022-01-18,28,12,1,0.43
2022-01-20,22,7,0,0.32
2022-01-22,21,6,0,0.29
2022-01-24,24,9,0,0.38
2022-01-26,24,10,0,0.42
2022-01-28,19,8,0,0.42
2022-01-30,19,1,0,0.05
2022-02-02,24,8,0,0.33
2022-02-04,27,8,0,0.3
2022-02-06,26,4,0,0.15
2022-02-08,21,3,0,0.14
2022-02-10,31,7,4,0.23
2022-02-12,29,11,0,0.38
2022-02-14,18,6,0,0.33
2022-02-16,27,10,0,0.37
2022-02-18,23,10,2,0.43
2022-02-20,29,21,0,0.72
2022-02-22,20,10,0,0.5
2022-02-26,17,2,0,0.12
2022-02-28,31,8,0,0.26
2022-03-02,23,5,0,0.22
2022-03-04,17,5,0,0.29
2022-03-06,18,1,0,0.06
2022-03-08,22,4,0,0.18
2022-03-10,31,5,0,0.16
2022-03-12,27,11,0,0.41
2022-03-14,35,14,0,0.4
2022-03-16,16,7,4,0.44
2022-03-18,24,3,0,0.12
2022-03-20,25,11,0,0.44
2022-03-22,18,2,0,0.11
2022-03-24,17,5,1,0.29
2022-03-26,22,14,0,0.64
2022-03-28,23,6,0,0.26
2022-03-30,20,13,0,0.65
2022-04-02,21,11,2,0.52
2022-04-04,48,23,0,0.48
2022-04-06,33,27,0,0.82
2022-04-08,45,13,0,0.29
2022-04-10,37,12,0,0.32
2022-04-12,40,15,0,0.38
2022-04-14,32,5,0,0.16
2022-04-16,29,16,0,0.55
2022-04-18,50,25,0,0.5
2022-04-20,31,9,0,0.29
2022-04-22,54,20,0,0.37
2022-04-24,37,14,0,0.38
2022-04-26,62,28,0,0.45
2022-04-28,39,6,0,0.15
2022-04-30,36,18,0,0.5
2022-05-02,34,8,0,0.24
2022-05-04,49,20,0,0.41
2022-05-06,38,22,0,0.58
2022-05-08,40,17,0,0.42
2022-05-10,31,14,0,0.45
2022-05-12,44,20,2,0.45
2022-05-14,33,5,0,0.15
2022-05-16,30,12,0,0.4
2022-05-18,58,19,0,0.33
2022-05-20,33,24,0,0.73
2022-05-22,40,15,0,0.38
2022-05-24,31,6,0,0.19
2022-05-26,37,18,0,0.49
2022-06-02,39,14,0,0.36
2022-06-04,35,15,0,0.43
2022-06-06,39,6,0,0.15
2022-06-08,36,16,0,0.44
2022-06-10,47,7,0,0.15
2022-06-12,46,18,0,0.39
2022-06-14,42,9,5,0.21
2022-06-16,39,10,3,0.26
2022-06-18,34,5,0,0.15
2022-06-20,28,6,0,0.21
2022-06-22,50,38,0,0.76
2022-06-24,43,11,0,0.26
2022-06-26,41,15,0,0.37
2022-06-28,48,23,0,0.48
2022-06-30,34,12,0,0.35
2022-07-02,36,13,0,0.36
2022-07-04,34,18,0,0.53
2022-07-06,41,14,0,0.34
2022-07-08,40,11,0,0.28
2022-07-10,36,12,0,0.33
2022-07-12,33,25,0,0.76
2022-07-14,30,12,0,0.4
2022-07-16,36,11,0,0.31
2022-07-18,36,11,0,0.31
2022-07-20,42,16,0,0.38
2022-07-22,52,10,0,0.19
2022-07-24,59,14,0,0.24
2022-07-26,41,13,0,0.32
2022-07-28,31,9,0,0.29
2022-07-30,45,19,0,0.42
2022-08-02,43,6,0,0.14
2022-08-04,48,26,0,0.54
2022-08-06,37,8,0,0.22
2022-08-08,48,17,0,0.35
2022-08-10,31,3,0,0.1
2022-08-12,31,12,5,0.39
2022-08-14,38,18,0,0.47
2022-08-16,34,8,0,0.24
2022-08-18,57,11,2,0.19
2022-08-20,40,9,0,0.22
2022-08-22,36,7,0,0.19
2022-08-24,47,13,0,0.28
2022-08-26,46,19,0,0.41
2022-08-28,46,12,0,0.26
2022-08-30,45,20,0,0.44
2022-09-02,57,15,0,0.26
2022-09-04,38,16,0,0.42
2022-09-06,38,12,0,0.32
2022-09-08,40,8,0,0.2
2022-09-10,49,5,0,0.1
2022-09-12,31,11,0,0.35
2022-09-14,34,5,0,0.15
2022-09-16,35,13,0,0.37
2022-09-18,45,11,0,0.24
2022-09-20,41,19,0,0.46
2022-09-22,33,16,5,0.48
2022-09-24,32,15,3,0.47
2022-09-26,38,11,0,0.29
2022-09-28,33,8,0,0.24
2022-09-30,45,14,0,0.31
2022-10-02,45,25,0,0.56
2022-10-04,41,14,0,0.34
2022-10-06,49,34,1,0.69
2022-10-08,36,14,0,0.39
2022-10-10,33,6,0,0.18
