date,total,filter,remove,ratio
2021-12-26,23,3,0,0.13
2021-12-28,16,3,0,0.19
2021-12-30,21,3,0,0.14
2022-01-02,13,3,5,0.23
2022-01-08,23,1,0,0.04
2022-01-10,19,6,0,0.32
2022-01-12,17,3,4,0.18
2022-01-14,19,2,0,0.11
2022-01-16,19,2,0,0.11
2022-01-18,29,4,0,0.14
2022-01-20,22,5,0,0.23
2022-01-22,21,2,0,0.1
2022-01-24,24,8,0,0.33
2022-01-26,24,4,0,0.17
2022-01-28,19,3,0,0.16
2022-01-30,19,5,0,0.26
2022-02-02,24,3,0,0.12
2022-02-04,27,3,0,0.11
2022-02-06,24,4,2,0.17
2022-02-08,21,2,0,0.1
2022-02-10,35,3,0,0.09
2022-02-12,29,4,0,0.14
2022-02-14,18,2,0,0.11
2022-02-16,23,3,4,0.13
2022-02-18,25,6,0,0.24
2022-02-20,29,4,0,0.14
2022-02-22,20,3,0,0.15
2022-02-26,17,3,0,0.18
2022-02-28,31,3,0,0.1
2022-03-02,23,1,0,0.04
2022-03-04,17,3,0,0.18
2022-03-06,18,3,0,0.17
2022-03-08,18,1,4,0.06
2022-03-10,31,6,0,0.19
2022-03-12,27,4,0,0.15
2022-03-14,35,5,0,0.14
2022-03-16,20,3,0,0.15
2022-03-18,22,3,2,0.14
2022-03-20,25,4,0,0.16
2022-03-22,15,3,3,0.2
2022-03-24,18,2,0,0.11
2022-03-26,21,2,1,0.1
2022-03-28,23,4,0,0.17
2022-03-30,20,3,0,0.15
2022-04-02,23,5,0,0.22
2022-04-04,48,7,0,0.15
2022-04-06,33,3,0,0.09
2022-04-08,45,4,0,0.09
2022-04-10,37,11,0,0.3
2022-04-12,40,3,0,0.08
2022-04-14,32,5,0,0.16
2022-04-16,29,2,0,0.07
2022-04-18,50,9,0,0.18
2022-04-20,29,4,2,0.14
2022-04-22,52,9,2,0.17
2022-04-24,37,2,0,0.05
2022-04-26,57,12,5,0.21
2022-04-28,39,9,0,0.23
2022-04-30,36,1,0,0.03
2022-05-02,32,4,2,0.12
2022-05-04,49,11,0,0.22
2022-05-06,38,6,0,0.16
2022-05-08,35,4,5,0.11
2022-05-10,31,5,0,0.16
2022-05-12,43,4,3,0.09
2022-05-14,33,3,0,0.09
2022-05-16,30,3,0,0.1
2022-05-18,58,5,0,0.09
2022-05-20,33,7,0,0.21
2022-05-22,40,9,0,0.22
2022-05-24,26,4,5,0.15
2022-05-26,37,8,0,0.22
2022-06-02,39,4,0,0.1
2022-06-04,32,3,3,0.09
2022-06-06,35,4,4,0.11
2022-06-08,36,6,0,0.17
2022-06-10,47,6,0,0.13
2022-06-12,46,6,0,0.13
2022-06-14,47,17,0,0.36
2022-06-16,42,10,0,0.24
2022-06-18,34,8,0,0.24
2022-06-20,28,6,0,0.21
2022-06-22,50,12,0,0.24
2022-06-24,43,5,0,0.12
2022-06-26,41,16,0,0.39
2022-06-28,48,8,0,0.17
2022-06-30,34,15,0,0.44
2022-07-02,32,4,4,0.12
2022-07-04,34,7,0,0.21
2022-07-06,41,9,0,0.22
2022-07-08,40,9,0,0.22
2022-07-10,36,3,0,0.08
2022-07-12,33,12,0,0.36
2022-07-14,26,3,4,0.12
2022-07-16,36,4,0,0.11
2022-07-18,31,5,5,0.16
2022-07-20,42,6,0,0.14
2022-07-22,52,13,0,0.25
2022-07-24,59,5,0,0.08
2022-07-26,41,6,0,0.15
2022-07-28,31,3,0,0.1
2022-07-30,45,5,0,0.11
2022-08-02,43,8,0,0.19
2022-08-04,48,6,0,0.12
2022-08-06,36,2,1,0.06
2022-08-08,48,10,0,0.21
2022-08-10,31,4,0,0.13
2022-08-12,36,3,0,0.08
2022-08-14,38,7,0,0.18
2022-08-16,34,5,0,0.15
2022-08-18,59,9,0,0.15
2022-08-20,40,7,0,0.18
2022-08-22,36,5,0,0.14
2022-08-24,47,8,0,0.17
2022-08-26,46,4,0,0.09
2022-08-28,46,7,0,0.15
2022-08-30,45,11,0,0.24
2022-09-02,57,12,0,0.21
2022-09-04,38,6,0,0.16
2022-09-06,38,1,0,0.03
2022-09-08,40,3,0,0.08
2022-09-10,49,6,0,0.12
2022-09-12,31,4,0,0.13
2022-09-14,34,7,0,0.21
2022-09-16,35,3,0,0.09
2022-09-18,43,2,2,0.05
2022-09-20,41,6,0,0.15
2022-09-22,38,7,0,0.18
2022-09-24,34,4,1,0.12
2022-09-26,38,5,0,0.13
2022-09-28,33,3,0,0.09
2022-09-30,44,5,1,0.11
2022-10-02,45,7,0,0.16
2022-10-04,41,7,0,0.17
2022-10-06,50,7,0,0.14
2022-10-08,36,2,0,0.06
2022-10-10,33,3,0,0.09
