date,total,filter,remove,ratio
2021-12-26,21,7,2,0.33
2021-12-28,15,0,1,0.0
2021-12-30,21,0,0,0.0
2022-01-02,18,0,0,0.0
2022-01-08,23,1,0,0.04
2022-01-10,19,0,0,0.0
2022-01-12,21,1,0,0.05
2022-01-14,19,0,0,0.0
2022-01-16,19,0,0,0.0
2022-01-18,29,0,0,0.0
2022-01-20,20,0,2,0.0
2022-01-22,21,1,0,0.05
2022-01-24,22,0,2,0.0
2022-01-26,24,2,0,0.08
2022-01-28,14,0,5,0.0
2022-01-30,19,1,0,0.05
2022-02-02,24,1,0,0.04
2022-02-04,27,0,0,0.0
2022-02-06,26,9,0,0.35
2022-02-08,21,1,0,0.05
2022-02-10,35,3,0,0.09
2022-02-12,29,0,0,0.0
2022-02-14,18,1,0,0.06
2022-02-16,27,2,0,0.07
2022-02-18,24,1,1,0.04
2022-02-20,29,2,0,0.07
2022-02-22,20,8,0,0.4
2022-02-26,14,0,3,0.0
2022-02-28,31,1,0,0.03
2022-03-02,23,0,0,0.0
2022-03-04,17,2,0,0.12
2022-03-06,18,0,0,0.0
2022-03-08,21,0,1,0.0
2022-03-10,31,0,0,0.0
2022-03-12,27,1,0,0.04
2022-03-14,35,5,0,0.14
2022-03-16,20,0,0,0.0
2022-03-18,24,0,0,0.0
2022-03-20,24,1,1,0.04
2022-03-22,18,0,0,0.0
2022-03-24,18,0,0,0.0
2022-03-26,19,1,3,0.05
2022-03-28,23,0,0,0.0
2022-03-30,18,0,2,0.0
2022-04-02,23,1,0,0.04
2022-04-04,48,0,0,0.0
2022-04-06,33,2,0,0.06
2022-04-08,45,0,0,0.0
2022-04-10,37,1,0,0.03
2022-04-12,40,0,0,0.0
2022-04-14,32,1,0,0.03
2022-04-16,29,0,0,0.0
2022-04-18,50,0,0,0.0
2022-04-20,31,3,0,0.1
2022-04-22,54,0,0,0.0
2022-04-24,37,4,0,0.11
2022-04-26,62,0,0,0.0
2022-04-28,39,0,0,0.0
2022-04-30,36,0,0,0.0
2022-05-02,33,0,1,0.0
2022-05-04,49,5,0,0.1
2022-05-06,36,0,2,0.0
2022-05-08,40,3,0,0.08
2022-05-10,31,3,0,0.1
2022-05-12,46,2,0,0.04
2022-05-14,33,1,0,0.03
2022-05-16,30,3,0,0.1
2022-05-18,58,4,0,0.07
2022-05-20,30,10,3,0.33
2022-05-22,39,0,1,0.0
2022-05-24,31,0,0,0.0
2022-05-26,37,1,0,0.03
2022-06-02,39,0,0,0.0
2022-06-04,35,2,0,0.06
2022-06-06,35,1,4,0.03
2022-06-08,36,2,0,0.06
2022-06-10,47,0,0,0.0
2022-06-12,40,0,6,0.0
2022-06-14,47,1,0,0.02
2022-06-16,42,2,0,0.05
2022-06-18,34,0,0,0.0
2022-06-20,25,0,3,0.0
2022-06-22,50,0,0,0.0
2022-06-24,43,1,0,0.02
2022-06-26,41,6,0,0.15
2022-06-28,48,0,0,0.0
2022-06-30,34,0,0,0.0
2022-07-02,36,3,0,0.08
2022-07-04,32,0,2,0.0
2022-07-06,41,0,0,0.0
2022-07-08,40,0,0,0.0
2022-07-10,32,8,4,0.25
2022-07-12,33,0,0,0.0
2022-07-14,28,1,2,0.04
2022-07-16,36,3,0,0.08
2022-07-18,36,0,0,0.0
2022-07-20,42,0,0,0.0
2022-07-22,48,5,4,0.1
2022-07-24,59,4,0,0.07
2022-07-26,41,3,0,0.07
2022-07-28,31,2,0,0.06
2022-07-30,45,3,0,0.07
2022-08-02,41,1,2,0.02
2022-08-04,48,17,0,0.35
2022-08-06,37,0,0,0.0
2022-08-08,46,5,2,0.11
2022-08-10,31,0,0,0.0
2022-08-12,36,0,0,0.0
2022-08-14,38,0,0,0.0
2022-08-16,34,8,0,0.24
2022-08-18,59,1,0,0.02
2022-08-20,40,2,0,0.05
2022-08-22,36,2,0,0.06
2022-08-24,47,0,0,0.0
2022-08-26,46,0,0,0.0
2022-08-28,46,1,0,0.02
2022-08-30,45,4,0,0.09
2022-09-02,55,0,2,0.0
2022-09-04,38,4,0,0.11
2022-09-06,38,2,0,0.05
2022-09-08,40,2,0,0.05
2022-09-10,49,4,0,0.08
2022-09-12,31,3,0,0.1
2022-09-14,34,0,0,0.0
2022-09-16,32,9,3,0.28
2022-09-18,40,0,5,0.0
2022-09-20,41,0,0,0.0
2022-09-22,38,3,0,0.08
2022-09-24,35,3,0,0.09
2022-09-26,38,0,0,0.0
2022-09-28,33,0,0,0.0
2022-09-30,45,5,0,0.11
2022-10-02,45,5,0,0.11
2022-10-04,35,0,6,0.0
2022-10-06,50,19,0,0.38
2022-10-08,36,0,0,0.0
2022-10-10,33,0,0,0.0
