date,total,filter,remove,ratio
2021-12-26,23,16,0,0.7
2021-12-28,15,9,1,0.6
2021-12-30,21,6,0,0.29
2022-01-02,18,7,0,0.39
2022-01-08,23,9,0,0.39
2022-01-10,19,8,0,0.42
2022-01-12,17,9,4,0.53
2022-01-14,19,11,0,0.58
2022-01-16,19,14,0,0.74
2022-01-18,29,12,0,0.41
2022-01-20,22,16,0,0.73
2022-01-22,21,9,0,0.43
2022-01-24,21,4,3,0.19
2022-01-26,24,16,0,0.67
2022-01-28,19,10,0,0.53
2022-01-30,19,10,0,0.53
2022-02-02,24,10,0,0.42
2022-02-04,25,15,2,0.6
2022-02-06,26,12,0,0.46
2022-02-08,21,12,0,0.57
2022-02-10,35,10,0,0.29
2022-02-12,29,14,0,0.48
2022-02-14,18,8,0,0.44
2022-02-16,27,13,0,0.48
2022-02-18,22,11,3,0.5
2022-02-20,25,10,4,0.4
2022-02-22,20,12,0,0.6
2022-02-26,17,11,0,0.65
2022-02-28,31,19,0,0.61
2022-03-02,23,11,0,0.48
2022-03-04,17,9,0,0.53
2022-03-06,18,7,0,0.39
2022-03-08,22,9,0,0.41
2022-03-10,30,13,1,0.43
2022-03-12,27,16,0,0.59
2022-03-14,35,21,0,0.6
2022-03-16,17,11,3,0.65
2022-03-18,24,11,0,0.46
2022-03-20,25,9,0,0.36
2022-03-22,18,4,0,0.22
2022-03-24,18,8,0,0.44
2022-03-26,22,13,0,0.59
2022-03-28,23,15,0,0.65
2022-03-30,20,12,0,0.6
2022-04-02,23,16,0,0.7
2022-04-04,47,31,1,0.66
2022-04-06,31,13,2,0.42
2022-04-08,42,22,3,0.52
2022-04-10,37,22,0,0.59
2022-04-12,40,22,0,0.55
2022-04-14,32,21,0,0.66
2022-04-16,29,17,0,0.59
2022-04-18,50,32,0,0.64
2022-04-20,28,13,3,0.46
2022-04-22,54,27,0,0.5
2022-04-24,37,16,0,0.43
2022-04-26,62,30,0,0.48
2022-04-28,37,22,2,0.59
2022-04-30,36,18,0,0.5
2022-05-02,34,15,0,0.44
2022-05-04,49,25,0,0.51
2022-05-06,38,17,0,0.45
2022-05-08,40,24,0,0.6
2022-05-10,31,12,0,0.39
2022-05-12,46,31,0,0.67
2022-05-14,33,8,0,0.24
2022-05-16,30,14,0,0.47
2022-05-18,58,23,0,0.4
2022-05-20,33,19,0,0.58
2022-05-22,40,26,0,0.65
2022-05-24,31,15,0,0.48
2022-05-26,37,26,0,0.7
2022-06-02,35,13,4,0.37
2022-06-04,35,20,0,0.57
2022-06-06,39,24,0,0.62
2022-06-08,36,25,0,0.69
2022-06-10,47,21,0,0.45
2022-06-12,46,20,0,0.43
2022-06-14,47,14,0,0.3
2022-06-16,42,26,0,0.62
2022-06-18,31,5,3,0.16
2022-06-20,28,18,0,0.64
2022-06-22,50,21,0,0.42
2022-06-24,43,8,0,0.19
2022-06-26,40,26,1,0.65
2022-06-28,48,30,0,0.62
2022-06-30,34,20,0,0.59
2022-07-02,36,16,0,0.44
2022-07-04,34,20,0,0.59
2022-07-06,40,9,1,0.22
2022-07-08,40,23,0,0.57
2022-07-10,36,14,0,0.39
2022-07-12,33,15,0,0.45
2022-07-14,30,15,0,0.5
2022-07-16,36,23,0,0.64
2022-07-18,36,23,0,0.64
2022-07-20,39,21,3,0.54
2022-07-22,52,26,0,0.5
2022-07-24,59,30,0,0.51
2022-07-26,39,19,2,0.49
2022-07-28,31,14,0,0.45
2022-07-30,45,30,0,0.67
2022-08-02,37,22,6,0.59
2022-08-04,48,24,0,0.5
2022-08-06,37,23,0,0.62
2022-08-08,48,29,0,0.6
2022-08-10,31,19,0,0.61
2022-08-12,36,24,0,0.67
2022-08-14,38,26,0,0.68
2022-08-16,34,21,0,0.62
2022-08-18,59,10,0,0.17
2022-08-20,37,17,3,0.46
2022-08-22,36,22,0,0.61
2022-08-24,47,32,0,0.68
2022-08-26,46,25,0,0.54
2022-08-28,46,30,0,0.65
2022-08-30,44,23,1,0.52
2022-09-02,57,29,0,0.51
2022-09-04,38,24,0,0.63
2022-09-06,38,20,0,0.53
2022-09-08,40,24,0,0.6
2022-09-10,49,22,0,0.45
2022-09-12,28,12,3,0.43
2022-09-14,34,19,0,0.56
2022-09-16,33,19,2,0.58
2022-09-18,45,27,0,0.6
2022-09-20,39,21,2,0.54
2022-09-22,38,18,0,0.47
2022-09-24,35,20,0,0.57
2022-09-26,37,25,1,0.68
2022-09-28,33,23,0,0.7
2022-09-30,45,21,0,0.47
2022-10-02,42,23,3,0.55
2022-10-04,41,19,0,0.46
2022-10-06,50,24,0,0.48
2022-10-08,36,21,0,0.58
2022-10-10,33,20,0,0.61
