date,total,filter,remove,ratio
2021-12-26,23,6,0,0.26
2021-12-28,16,3,0,0.19
2021-12-30,21,2,0,0.1
2022-01-02,18,6,0,0.33
2022-01-08,21,3,2,0.14
2022-01-10,19,4,0,0.21
2022-01-12,21,3,0,0.14
2022-01-14,19,0,0,0.0
2022-01-16,19,5,0,0.26
2022-01-18,29,8,0,0.28
2022-01-20,22,7,0,0.32
2022-01-22,21,0,0,0.0
2022-01-24,24,7,0,0.29
2022-01-26,24,5,0,0.21
2022-01-28,18,3,1,0.17
2022-01-30,19,3,0,0.16
2022-02-02,24,2,0,0.08
2022-02-04,27,3,0,0.11
2022-02-06,26,3,0,0.12
2022-02-08,21,4,0,0.19
2022-02-10,35,8,0,0.23
2022-02-12,29,7,0,0.24
2022-02-14,18,3,0,0.17
2022-02-16,27,2,0,0.07
2022-02-18,25,5,0,0.2
2022-02-20,29,8,0,0.28
2022-02-22,20,4,0,0.2
2022-02-26,17,2,0,0.12
2022-02-28,31,4,0,0.13
2022-03-02,20,1,3,0.05
2022-03-04,17,3,0,0.18
2022-03-06,18,1,0,0.06
2022-03-08,20,2,2,0.1
2022-03-10,31,9,0,0.29
2022-03-12,27,3,0,0.11
2022-03-14,35,8,0,0.23
2022-03-16,20,4,0,0.2
2022-03-18,24,8,0,0.33
2022-03-20,25,7,0,0.28
2022-03-22,18,3,0,0.17
2022-03-24,18,3,0,0.17
2022-03-26,22,1,0,0.05
2022-03-28,23,5,0,0.22
2022-03-30,20,2,0,0.1
2022-04-02,23,7,0,0.3
2022-04-04,48,15,0,0.31
2022-04-06,33,2,0,0.06
2022-04-08,45,1,0,0.02
2022-04-10,37,5,0,0.14
2022-04-12,40,7,0,0.18
2022-04-14,32,9,0,0.28
2022-04-16,28,4,1,0.14
2022-04-18,50,1,0,0.02
2022-04-20,31,9,0,0.29
2022-04-22,54,16,0,0.3
2022-04-24,37,14,0,0.38
2022-04-26,62,5,0,0.08
2022-04-28,39,0,0,0.0
2022-04-30,36,8,0,0.22
2022-05-02,34,2,0,0.06
2022-05-04,47,13,2,0.28
2022-05-06,38,9,0,0.24
2022-05-08,40,3,0,0.08
2022-05-10,31,7,0,0.23
2022-05-12,46,9,0,0.2
2022-05-14,33,9,0,0.27
2022-05-16,30,8,0,0.27
2022-05-18,58,15,0,0.26
2022-05-20,33,9,0,0.27
2022-05-22,40,9,0,0.22
2022-05-24,31,7,0,0.23
2022-05-26,37,13,0,0.35
2022-06-02,39,10,0,0.26
2022-06-04,35,2,0,0.06
2022-06-06,39,10,0,0.26
2022-06-08,36,2,0,0.06
2022-06-10,47,12,0,0.26
2022-06-12,46,5,0,0.11
2022-06-14,47,4,0,0.09
2022-06-16,41,11,1,0.27
2022-06-18,34,9,0,0.26
2022-06-20,28,7,0,0.25
2022-06-22,46,11,4,0.24
2022-06-24,43,10,0,0.23
2022-06-26,40,4,1,0.1
2022-06-28,48,14,0,0.29
2022-06-30,34,9,0,0.26
2022-07-02,36,10,0,0.28
2022-07-04,34,9,0,0.26
2022-07-06,41,0,0,0.0
2022-07-08,40,13,0,0.32
2022-07-10,36,10,0,0.28
2022-07-12,33,10,0,0.3
2022-07-14,30,9,0,0.3
2022-07-16,36,8,0,0.22
2022-07-18,36,7,0,0.19
2022-07-20,42,4,0,0.1
2022-07-22,52,18,0,0.35
2022-07-24,59,17,0,0.29
2022-07-26,41,12,0,0.29
2022-07-28,31,5,0,0.16
2022-07-30,45,8,0,0.18
2022-08-02,43,13,0,0.3
2022-08-04,47,7,1,0.15
2022-08-06,34,1,3,0.03
2022-08-08,48,14,0,0.29
2022-08-10,31,9,0,0.29
2022-08-12,36,6,0,0.17
2022-08-14,38,12,0,0.32
2022-08-16,34,0,0,0.0
2022-08-18,59,9,0,0.15
2022-08-20,40,12,0,0.3
2022-08-22,32,10,4,0.31
2022-08-24,47,0,0,0.0
2022-08-26,46,3,0,0.07
2022-08-28,46,12,0,0.26
2022-08-30,45,7,0,0.16
2022-09-02,55,3,2,0.05
2022-09-04,38,4,0,0.11
2022-09-06,38,8,0,0.21
2022-09-08,40,7,0,0.18
2022-09-10,49,12,0,0.24
2022-09-12,31,3,0,0.1
2022-09-14,34,7,0,0.21
2022-09-16,35,11,0,0.31
2022-09-18,45,14,0,0.31
2022-09-20,41,3,0,0.07
2022-09-22,38,4,0,0.11
2022-09-24,35,9,0,0.26
2022-09-26,38,11,0,0.29
2022-09-28,33,6,0,0.18
2022-09-30,45,6,0,0.13
2022-10-02,45,16,0,0.36
2022-10-04,41,13,0,0.32
2022-10-06,50,5,0,0.1
2022-10-08,36,11,0,0.31
2022-10-10,33,4,0,0.12
