date,total,filter,remove,ratio
2021-12-26,23,11,0,0.48
2021-12-28,16,8,0,0.5
2021-12-30,21,10,0,0.48
2022-01-02,18,14,0,0.78
2022-01-08,21,11,2,0.52
2022-01-10,19,11,0,0.58
2022-01-12,21,14,0,0.67
2022-01-14,19,11,0,0.58
2022-01-16,19,8,0,0.42
2022-01-18,29,17,0,0.59
2022-01-20,22,13,0,0.59
2022-01-22,20,13,1,0.65
2022-01-24,24,15,0,0.62
2022-01-26,24,18,0,0.75
2022-01-28,19,12,0,0.63
2022-01-30,17,12,2,0.71
2022-02-02,24,10,0,0.42
2022-02-04,27,15,0,0.56
2022-02-06,26,11,0,0.42
2022-02-08,17,9,4,0.53
2022-02-10,34,21,1,0.62
2022-02-12,29,19,0,0.66
2022-02-14,18,11,0,0.61
2022-02-16,27,14,0,0.52
2022-02-18,24,17,1,0.71
2022-02-20,29,17,0,0.59
2022-02-22,19,14,1,0.74
2022-02-26,17,12,0,0.71
2022-02-28,31,11,0,0.35
2022-03-02,23,15,0,0.65
2022-03-04,16,7,1,0.44
2022-03-06,18,8,0,0.44
2022-03-08,22,16,0,0.73
2022-03-10,31,20,0,0.65
2022-03-12,27,14,0,0.52
2022-03-14,35,22,0,0.63
2022-03-16,20,8,0,0.4
2022-03-18,23,18,1,0.78
2022-03-20,25,11,0,0.44
2022-03-22,18,8,0,0.44
2022-03-24,18,13,0,0.72
2022-03-26,22,15,0,0.68
2022-03-28,23,10,0,0.43
2022-03-30,20,13,0,0.65
2022-04-02,23,12,0,0.52
2022-04-04,48,19,0,0.4
2022-04-06,31,18,2,0.58
2022-04-08,44,29,1,0.66
2022-04-10,36,23,1,0.64
2022-04-12,38,16,2,0.42
2022-04-14,32,21,0,0.66
2022-04-16,29,20,0,0.69
2022-04-18,50,31,0,0.62
2022-04-20,31,15,0,0.48
2022-04-22,53,19,1,0.36
2022-04-24,37,20,0,0.54
2022-04-26,62,32,0,0.52
2022-04-28,39,28,0,0.72
2022-04-30,36,27,0,0.75
2022-05-02,34,15,0,0.44
2022-05-04,49,21,0,0.43
2022-05-06,38,25,0,0.66
2022-05-08,40,22,0,0.55
2022-05-10,31,13,0,0.42
2022-05-12,45,31,1,0.69
2022-05-14,33,21,0,0.64
2022-05-16,30,19,0,0.63
2022-05-18,58,27,0,0.47
2022-05-20,33,17,0,0.52
2022-05-22,40,26,0,0.65
2022-05-24,30,19,1,0.63
2022-05-26,37,21,0,0.57
2022-06-02,39,19,0,0.49
2022-06-04,35,25,0,0.71
2022-06-06,39,25,0,0.64
2022-06-08,36,22,0,0.61
2022-06-10,47,27,0,0.57
2022-06-12,46,19,0,0.41
2022-06-14,47,38,0,0.81
2022-06-16,42,24,0,0.57
2022-06-18,34,21,0,0.62
2022-06-20,28,18,0,0.64
2022-06-22,50,29,0,0.58
2022-06-24,43,24,0,0.56
2022-06-26,41,20,0,0.49
2022-06-28,48,25,0,0.52
2022-06-30,34,26,0,0.76
2022-07-02,34,20,2,0.59
2022-07-04,34,10,0,0.29
2022-07-06,41,28,0,0.68
2022-07-08,34,22,6,0.65
2022-07-10,35,19,1,0.54
2022-07-12,33,19,0,0.58
2022-07-14,30,23,0,0.77
2022-07-16,32,13,4,0.41
2022-07-18,36,22,0,0.61
2022-07-20,42,25,0,0.6
2022-07-22,52,26,0,0.5
2022-07-24,59,45,0,0.76
2022-07-26,41,27,0,0.66
2022-07-28,31,19,0,0.61
2022-07-30,45,32,0,0.71
2022-08-02,43,28,0,0.65
2022-08-04,48,29,0,0.6
2022-08-06,37,20,0,0.54
2022-08-08,48,26,0,0.54
2022-08-10,31,10,0,0.32
2022-08-12,36,25,0,0.69
2022-08-14,38,25,0,0.66
2022-08-16,30,22,4,0.73
2022-08-18,59,42,0,0.71
2022-08-20,40,24,0,0.6
2022-08-22,36,26,0,0.72
2022-08-24,45,24,2,0.53
2022-08-26,46,26,0,0.57
2022-08-28,46,24,0,0.52
2022-08-30,45,29,0,0.64
2022-09-02,57,29,0,0.51
2022-09-04,34,24,4,0.71
2022-09-06,38,25,0,0.66
2022-09-08,40,27,0,0.68
2022-09-10,49,28,0,0.57
2022-09-12,31,19,0,0.61
2022-09-14,34,25,0,0.74
2022-09-16,35,16,0,0.46
2022-09-18,45,27,0,0.6
2022-09-20,41,27,0,0.66
2022-09-22,38,19,0,0.5
2022-09-24,35,18,0,0.51
2022-09-26,38,19,0,0.5
2022-09-28,33,22,0,0.67
2022-09-30,45,32,0,0.71
2022-10-02,45,23,0,0.51
2022-10-04,38,25,3,0.66
2022-10-06,50,23,0,0.46
2022-10-08,36,13,0,0.36
2022-10-10,33,14,0,0.42
